cit_id,cca_id
429,7
429,30
429,56
430,7
430,29
431,7
431,31
431,58
432,7
432,32
432,64
434,7
434,37
434,96
435,7
435,30
435,52
436,7
436,34
436,77
433,7
433,29
433,44
437,7
437,31
437,60
438,7
438,31
438,60
440,7
440,35
440,81
441,7
441,38
441,106
442,7
442,30
442,52
443,7
443,33
443,70
455,49
455,114
455,144
460,7
460,32
460,66
472,7
472,31
472,58
485,7
485,32
485,64
520,7
520,32
520,64
521,7
521,29
522,7
522,31
522,58
526,7
526,29
547,49
547,113
547,134
548,7
548,29
549,7
549,29
549,40
556,7
556,29
620,7
620,30
620,51
625,49
625,112
625,128
641,7
641,29
641,40
668,49
668,111
671,49
671,111
672,7
672,29
706,7
706,29
718,49
718,111
739,7
739,29
746,49
746,113
746,135
748,7
748,35
748,81
749,49
749,111
754,49
754,111
769,7
769,29
777,7
777,29
807,7
807,29
854,49
854,111
855,7
855,29
856,49
856,111
857,49
857,111
858,7
858,31
858,58
859,7
859,29
860,7
860,35
860,83
861,49
861,111
862,49
862,111
863,7
863,30
863,51
864,49
864,111
869,49
869,111
874,49
874,111
907,7
907,32
907,65
938,7
938,29
15,7
15,31
15,61
20,7
20,29
21,7
21,29
23,49
23,111
23,119
29,7
29,30
29,51
31,7
31,30
31,51
32,7
32,29
35,7
35,29
40,49
40,112
40,130
43,7
43,30
43,52
41,7
41,31
41,59
52,7
52,29
118,7
119,7
119,30
120,7
120,30
121,7
121,30
122,49
122,114
122,146
123,49
123,112
123,127
124,49
124,111
124,119
199,7
223,49
223,115
223,149
2,7
2,32
2,66
1,7
1,33
1,69
5,7
5,36
5,92
7,7
7,36
7,93
13,7
13,36
14,7
14,30
14,51
16,7
16,30
16,51
17,7
17,30
17,51
18,7
18,30
18,51
19,49
19,112
19,129
22,49
22,112
22,129
24,49
24,112
24,129
25,49
25,112
25,129
26,49
26,112
26,129
27,49
27,112
27,129
28,49
28,112
28,129
30,49
30,112
30,129
33,49
33,112
33,129
34,49
34,112
34,129
36,49
36,112
36,129
37,49
38,49
39,49
42,49
44,49
45,49
10,7
10,33
10,70
8,7
8,32
8,65
12,7
12,32
12,65
11,7
11,32
11,66
6,7
6,32
6,65
46,7
46,36
46,91
47,7
47,36
47,91
48,7
48,31
48,58
50,7
50,31
50,60
51,170
53,7
53,31
53,59
54,7
54,31
54,60
55,7
55,30
55,53
56,7
56,31
56,60
49,7
49,31
49,58
61,7
61,29
61,41
66,7
66,30
66,52
86,49
86,112
86,129
9,7
9,33
9,70
105,7
105,30
105,52
113,7
113,29
113,46
114,7
114,31
114,58
115,7
115,29
115,46
117,49
117,116
117,160
125,7
125,7
125,170
126,7
126,49
126,49
127,49
127,7
127,0
128,49
128,49
128,7
129,49
129,114
129,142
130,49
130,111
130,120
131,49
131,111
131,120
132,49
132,111
132,120
133,49
133,111
133,120
134,49
134,111
134,120
135,49
135,111
135,120
136,7
136,30
136,51
137,7
137,30
137,51
138,7
138,30
138,51
139,7
139,30
139,51
140,7
140,30
140,51
141,7
141,30
141,51
142,7
142,31
142,59
144,7
144,31
144,58
143,49
143,113
143,135
145,49
145,113
145,135
146,49
146,112
146,128
147,49
147,112
147,128
148,49
148,113
148,137
150,7
150,29
150,41
151,49
151,111
151,119
152,7
152,32
152,64
169,49
169,111
169,120
172,49
172,111
172,119
78,7
78,29
78,41
180,49
180,111
180,119
188,7
188,33
188,69
187,7
187,30
187,53
178,7
178,35
178,81
184,7
184,35
184,82
182,7
182,37
182,97
177,7
177,37
177,97
176,7
176,29
176,48
175,7
175,30
175,56
174,7
174,29
174,41
173,7
173,37
173,98
108,7
108,32
108,64
107,7
107,30
107,56
106,7
106,29
106,44
99,7
99,29
99,48
98,7
98,32
98,65
97,7
97,33
97,70
96,7
96,29
96,41
95,7
95,29
95,45
94,7
94,30
94,53
93,7
93,31
93,58
166,7
166,37
166,97
164,7
164,35
164,81
163,7
163,30
163,56
162,7
162,29
162,47
161,7
161,30
161,56
159,7
159,33
159,69
158,7
158,29
158,43
157,7
157,29
157,47
156,7
156,32
156,66
154,7
154,32
154,65
112,7
112,30
112,56
111,7
111,32
111,65
110,7
110,29
110,45
104,7
104,33
104,70
103,7
103,29
103,47
102,7
102,33
102,69
101,7
101,29
101,47
100,7
100,36
100,91
168,7
168,31
168,58
84,7
84,31
84,58
170,7
170,29
170,46
80,7
80,32
80,65
183,7
183,29
183,41
165,7
165,37
165,96
155,7
155,29
155,45
160,7
160,29
160,43
171,7
171,32
171,66
82,7
82,29
82,41
109,7
109,35
109,81
179,7
179,35
179,81
181,7
181,32
181,66
190,7
190,33
190,70
196,7
196,31
196,59
198,7
198,31
198,59
200,7
200,31
200,59
189,7
189,29
189,45
211,7
211,34
211,78
216,7
216,38
216,106
235,7
235,29
235,47
239,7
239,32
239,65
240,7
240,32
240,65
243,7
243,32
243,65
263,7
263,31
263,60
264,7
264,30
264,53
273,7
273,171
273,175
271,7
271,171
271,175
274,7
274,171
274,173
276,7
276,35
276,89
278,7
278,171
278,173
281,7
281,35
281,80
283,7
283,30
283,62
284,7
284,171
284,172
288,7
288,35
288,80
297,49
297,112
297,129
295,7
295,29
295,47
238,49
238,111
238,124
237,7
237,30
237,51
298,49
298,111
298,124
272,7
272,171
272,173
299,7
299,32
299,66
300,7
300,29
300,47
303,7
303,171
303,173
302,7
302,171
302,175
304,7
304,171
304,173
306,7
306,29
306,43
64,7
64,29
64,44
65,7
65,29
65,43
63,7
63,29
63,44
62,7
62,29
62,47
348,7
348,32
348,65
346,7
346,32
346,65
351,7
351,31
351,58
59,7
59,29
59,46
58,7
58,29
58,45
57,7
57,29
57,45
353,7
353,29
353,46
352,7
352,29
352,47
71,7
71,31
71,58
357,7
357,29
357,45
81,7
81,29
81,47
354,7
354,29
354,46
356,7
356,33
356,69
358,7
358,29
358,45
83,7
83,29
83,41
359,7
359,31
359,60
360,7
360,29
360,46
361,7
361,32
361,66
362,7
362,31
362,59
365,7
365,29
365,43
368,7
368,31
368,61
372,7
372,31
372,60
379,7
379,29
379,41
378,7
378,32
378,66
377,7
377,29
377,45
376,7
376,32
376,66
375,7
375,32
375,65
374,7
374,33
374,70
371,7
371,29
371,41
367,7
367,29
367,40
343,7
343,30
343,56
380,7
380,33
380,70
381,7
381,31
381,59
382,7
382,29
382,40
386,7
386,30
386,52
385,7
385,33
385,70
387,7
387,29
387,44
391,7
391,29
391,45
392,7
392,37
392,100
399,7
399,37
399,96
400,7
400,37
400,97
401,7
401,37
401,96
403,7
403,37
403,97
402,7
402,30
402,53
404,49
404,111
404,122
405,7
405,37
405,96
406,7
406,33
406,70
407,7
407,37
407,96
410,7
410,37
410,96
411,7
411,37
411,96
412,7
412,37
412,96
413,7
413,37
413,97
397,7
397,33
397,69
415,7
415,37
415,96
417,7
417,37
417,97
420,7
420,30
420,52
421,7
421,29
421,40
422,7
422,30
422,52
423,7
423,30
423,52
424,7
424,31
424,60
425,7
425,31
425,59
426,7
426,30
426,51
451,7
451,36
451,91
452,7
452,29
452,46
450,7
450,31
450,59
448,7
448,29
448,47
447,7
447,31
447,58
453,7
453,29
453,47
454,7
454,30
454,52
456,7
456,32
456,65
457,7
457,33
457,70
461,7
461,171
461,175
462,7
462,34
462,77
459,7
459,29
459,46
463,7
463,37
463,97
464,7
464,34
464,77
465,7
465,29
465,45
444,7
444,32
444,67
466,7
466,37
466,97
445,7
445,29
445,44
446,7
446,32
446,67
467,7
467,29
467,43
470,7
470,33
470,70
484,7
484,31
484,61
486,7
486,30
486,52
308,7
308,29
308,47
309,7
309,30
309,51
68,7
68,31
68,59
311,7
311,29
311,45
315,7
315,29
315,47
317,7
317,29
317,45
318,7
318,29
318,47
320,7
320,29
320,45
323,7
323,29
323,45
324,7
324,29
324,47
326,7
326,30
326,62
328,7
328,29
328,45
329,7
329,29
329,45
330,7
330,29
330,45
331,7
331,30
331,53
506,7
506,29
506,47
508,7
508,29
508,45
509,7
509,36
509,91
510,7
510,30
510,56
514,7
514,32
514,64
515,7
515,30
515,53
516,7
516,36
516,91
513,7
513,30
513,51
511,7
511,32
511,65
384,7
384,30
384,53
383,7
383,35
383,81
517,7
517,29
517,47
519,49
519,113
519,134
525,7
525,32
525,67
527,7
527,29
527,45
528,7
528,29
528,40
530,7
530,29
530,41
532,7
532,30
532,51
533,7
533,30
533,53
535,7
535,30
535,53
537,7
537,31
537,59
541,7
541,32
541,65
539,7
539,29
539,42
543,7
543,36
543,91
545,7
545,29
545,47
546,7
546,29
546,42
550,7
550,29
550,42
551,7
551,30
551,51
554,7
554,29
554,42
555,7
555,29
555,42
560,7
560,29
560,42
561,7
561,29
561,42
562,7
562,32
562,66
564,7
564,31
564,59
565,7
565,29
565,42
566,7
566,31
566,59
569,7
569,29
569,42
570,7
570,29
570,42
572,7
572,36
572,91
573,7
573,32
573,65
575,7
575,29
575,42
576,7
576,29
576,42
578,7
578,31
578,59
581,7
581,29
581,42
582,7
582,30
582,62
588,7
588,31
588,60
590,7
590,32
590,67
591,7
591,31
591,59
592,7
592,32
592,66
594,7
594,29
594,41
596,7
596,33
596,69
598,7
598,29
598,46
602,7
602,29
602,41
605,7
605,29
605,42
608,7
608,33
608,70
611,7
611,32
611,66
603,7
603,29
603,42
610,7
610,29
610,42
612,7
612,29
612,42
563,7
563,29
563,42
616,7
616,29
616,42
617,7
617,30
617,51
618,7
618,29
618,42
621,7
621,32
621,65
622,7
622,29
622,42
623,7
623,36
623,94
624,7
624,32
624,65
626,7
626,29
626,42
627,7
627,31
627,60
628,7
628,36
628,94
630,7
630,29
630,42
631,7
631,32
631,65
632,7
632,36
632,94
633,7
633,29
633,42
635,7
635,32
635,66
637,7
637,36
637,94
355,7
355,35
355,83
584,7
584,31
584,58
640,7
640,171
640,175
642,7
642,33
642,70
647,7
647,171
647,173
648,7
648,32
648,65
649,7
649,171
649,173
652,7
652,30
652,56
653,7
653,30
653,53
656,7
656,29
656,44
658,7
658,33
658,70
661,7
661,30
661,62
663,7
663,33
663,70
666,7
666,29
666,41
675,7
675,29
675,47
679,7
679,32
679,65
681,7
681,31
681,59
686,7
686,29
686,43
690,7
690,33
690,70
693,7
693,31
693,59
694,7
694,32
694,66
697,7
