cit_id,cit_name
1,"로위어 셔링 스커트"
2,"슬림 데님 스키니"
3,TEST스커트
4,믹스디테스트상품
5,"히든 후디"
6,"샌드 코튼 PT"
7,"핀 조거 트레이닝 팬츠"
8,"헤리티지 레더 PT"
9,"더블 랩 SK"
10,"드리밍 A라인 SK"
11,"제로 일자핏 DN"
12,"포켓 조거 PT"
46,"컴포터블 트레이닝 세트"
47,"스테리 나잇 트레이닝 세트"
48,"베이직 쫀쫀 원피스"
49,"럽미 골지 후드 원피스"
50,테스트상품입니다
51,11111
53,1111
54,dfafd
55,dd
56,asda
57,"우디 맨투맨"
58,"도그 맨투맨"
59,"아덴 후드 세트"
60,LA맨투맨
61,"똑딱 버튼 슬림 티"
62,"루즈핏 브이넥 니트"
63,"톰보이 오버핏 셔츠"
64,"크로플 체크 셔츠"
65,"실키 히든 블라우스"
66,"크롭 티"
67,"쉬폰 브이랩 원피스"
68,"롱 셔츠 원피스"
69,"페미닌 트위드 ops"
70,러블리안셔링OPS
71,"폴라 링클 슬림 원피스"
72,"벨트셔츠롱 OPS"
73,페미닌롱코트
74,"미니 가디건"
75,쿠앤크오버핏니트
76,"앙고라 뷔스티에"
77,비코스기모맨투맨
78,"똑딱 버튼 슬림 티"
79,체크기모울팬츠
80,"포켓 기모 스키니 팬츠"
81,"보카시 라운드 니트"
82,"볼륨 업 크롭 티"
83,"오프 숄더 티"
84,"럽미 골지 후드 원피스"
85,레더롱플레어SK
86,dadf
87,오픈숄더크롭니트
88,하트봉봉잠옷OPS
89,왕카라레이스수면SET
90,리본공주OPS
91,하트삥잠옷SET
92,아츄리본셔링OPS
93,"러블리 호피 원피스"
94,"오버핏 센슈얼 골덴 점퍼"
95,"베이직 기모 맨투맨"
96,"노멀 폴라티"
97,"심플리 골지 스커트"
98,"소프트 밍크 기모 팬츠"
99,"꽈배기 울 조끼"
100,"모모 기모 트레이닝 세트"
101,"쫀쫀 골지 가디건 니트"
102,"베이직 무드 스커트"
103,"보슬보슬 앙고라 니트"
104,"쥬얼리 샤틴 스커트"
105,312312321
106,"델리 오버핏 셔츠"
107,"비비 박시핏 울 코트"
108,"론리 레더 하프 팬츠"
109,"골덴 알파벳 캡"
110,"데스티니 기모 맨투맨"
111,"모션 트레이닝 팬츠"
112,"얼론 핸드메이드 st 울 코트"
113,"켈리 크롭 후디"
114,3132132132
115,"볼륨 페스탈 후디자켓"
116,소프트폴라T
142,상품명
143,상품명1
144,상품명
145,3123213
146,312321321
147,3123213
148,312312
149,테스트
150,3213213213
151,덕덕
152,쫀쫀바지
153,"원스 터틀넥 티셔츠"
154,"쫀쫀 텐션 슬랙스"
155,"더블 포인트 맨투맨"
156,"아델 일자 데님 팬츠"
157,"몽글 앙고라 니트"
158,"런던 블라우스"
159,"트윈 치마바지"
160,"러블리 뷔스티에"
161,"로즈 벨트 코트"
162,"먼데이 니트"
163,"스콘 베이직 코트"
164,"뽀글이 캡"
165,"베이직 투웨이 백"
166,"반달 숄더 백"
167,"골덴 LA로고 캡"
168,"베이직 쫀쫀 원피스"
169,ㅁㄴㅇ
170,"폭닥 기모 후드 집업"
171,"컷팅 밴딩 스키니진"
172,ㅁㄴㅇㄹ
173,"퐁퐁 퍼 토트백"
174,"터치 베이직 티셔츠"
175,"센스 숏 울 자켓"
176,"WEAR 울 조끼"
177,"시크 크로커 숄더백"
178,"롤리팝 비니"
179,"보스턴 모던 캡모자"
180,ASDF
181,"텐텐 배기 핏 데님 팬츠"
182,"베스트 반달 백"
183,"믹스 오브 믹스 터틀넥 티셔츠"
184,"소프트 밍크 버킷햇"
185,"머씨 슬릿 티셔츠"
186,"세미 핏 부츠컷 팬츠"
187,상품명
188,짧은치마임
189,"USA 양털 후리스 아노락 반집업"
190,"파우더 니트 롱스커트 (4color)"
191,"﻿Open One Knit"
192,"[루루서울] Boyd Leather Jacket / 보이드 레더 자켓"
193,"[루루서울] Chunky Boots / 앵클 미들굽 청키부츠"
194,"[루루서울] Western Leather Boots / 웨스턴 레더 부츠"
195,"[루루서울] 베를린백(가죽숄더백)  / 미니숄더백,새들백"
196,"[루루서울] 캐리 드레스 / 새틴원피스"
197,"[루루서울] classic satin dress / 클래식 슬립 새틴 드레스"
