cit_id,similar_id
1,"[1, 7213]"

2,"[2, 7106, 6285]"

3,"[3, 12050, 5312, 6249, 5035, 5032, 3851, 536]"

4,[4]

5,[5]

6,[6]

7,"[7, 10833, 12378, 12498, 10558, 12132, 12116, 12699, 5640, 10560]"

8,[8]

9,[9]

10,[10]

11,[11]

12,"[12, 13866, 8381]"

46,"[46, 780, 4539, 451]"

47,"[47, 14440]"

48,"[168, 48, 208]"

49,"[84, 49, 3204, 13266, 6144]"

50,[50]

51,[51]

53,[53]

54,[54]

55,[55]

56,[56]

57,"[57, 7198, 60, 8137, 7412, 1970]"

58,"[58, 7198, 60, 3372]"

59,[59]

60,"[7198, 60, 13658, 13646, 11796, 11141, 5823, 5809, 1085, 320, 307, 58, 57, 14687, 12487, 11814, 10106, 5852, 5789, 5760, 2054, 696, 329, 328, 323]"

61,"[78, 61]"

62,"[11102, 2077, 62, 14616, 14581, 14555, 13151, 8491, 6395, 5608, 3626, 14081, 13789, 12310, 4778, 2518, 1819, 1669, 10653, 6340, 6038, 1109, 10544, 10116, 8586, 4080, 10148, 3660, 1886, 14505, 13923, 13729, 13560, 13478, 12335, 10515, 10327, 8877, 7431, 6536, 5980, 5916, 3297, 3212, 1258, 1146, 870, 534, 518]"

63,"[63, 12987, 106]"

64,"[64, 3219]"

65,"[65, 4308]"

66,[66]

67,"[67, 13258]"

68,"[68, 13795, 3570, 1076, 3937, 3512, 3446, 10398, 5377]"

69,[69]

70,[70]

71,"[71, 11060, 2338]"

72,[72]

73,[73]

74,"[74, 6151, 2780, 9250, 8599, 8573, 7609, 4986, 909, 619]"

75,[75]

76,[76]

77,"[77, 13857, 2960, 7433, 110, 14621, 14562, 14507, 11625, 8312, 5261, 3449, 1970, 1588, 1267]"

78,"[78, 61]"

79,[79]

80,"[80, 13866]"

81,"[81, 5548, 2509, 6269, 1242, 1151, 7695, 6962, 5618, 12449, 6338, 12938, 12079, 11804, 10124, 10049, 8944, 5921, 4565, 2267, 2240, 1961, 926, 453, 300]"

82,[82]

83,"[83, 13412, 4096, 2824, 12646, 3155, 2826]"

84,"[84, 49, 3204, 13266, 6144]"

85,"[85, 3237]"

86,[86]

87,"[87, 10194, 5597, 7553, 6181]"

88,[88]

89,[89]

90,[90]

91,[91]

92,[92]

93,"[93, 13176, 13116, 4591, 13449]"

94,[94]

95,"[95, 11121, 1267, 9474, 10625, 14621, 14562, 14463, 11614, 10173, 5413, 3449, 2635, 2506, 1970, 1588]"

96,[96]

97,"[97, 2102, 9534, 8904, 5316, 3862]"

98,"[98, 1092]"

99,"[99, 176]"

100,"[100, 4941, 10329, 14440, 11058, 1978, 12137, 6155, 1681, 516, 451]"

101,"[101, 5960, 13696, 12091, 10821]"

102,"[102, 2572, 12974, 4237, 3895, 3854]"

103,"[103, 14486, 6916]"

104,[104]

105,"[105, 420, 422]"

106,"[106, 63]"

107,[107]

108,"[108, 7884]"

109,[109]

110,"[110, 7433, 1267, 14507, 77, 13645, 8664, 3051, 323]"

111,"[111, 6832, 6341, 9001, 4615]"

112,"[112, 7912, 4503, 4498, 7042, 6965, 4610, 4507, 8921, 4545, 11924, 8926, 7560, 5522, 4564, 4533]"

113,"[10840, 113]"

114,[114]

115,"[10900, 115]"

116,[116]

142,[142]

143,[143]

144,[144]

145,[145]

146,"[146, 147]"

147,"[147, 146]"

148,[148]

149,"[149, 10061]"

150,[150]

151,[151]

152,[152]

153,"[153, 183, 12634]"

154,[154]

155,[155]

156,"[156, 13884, 2181, 4360, 9850, 9743, 4457]"

157,"[157, 14693, 7546, 6916, 389]"

158,"[158, 1035, 203]"

159,"[159, 12227, 4327]"

160,[160]

161,[161]

162,"[162, 995]"

163,"[163, 5506]"

164,"[164, 8695]"

165,[165]

166,"[1979, 166, 5317, 4758]"

167,[167]

168,"[168, 48, 208]"

169,[169]

170,"[170, 10931, 13859, 13698, 5418, 354]"

171,"[171, 4638]"

172,[172]

173,[173]

174,"[174, 5599, 13573, 8985]"

175,"[175, 14517]"

176,"[176, 99]"

177,"[177, 10001]"

178,[178]

179,[179]

180,[180]

181,[181]

182,[182]

183,"[183, 153]"

184,[184]

185,[185]

186,"[186, 1719, 5740, 4376]"

187,[187]

188,[188]

189,"[189, 13374, 3564, 3128, 5332]"

190,"[190, 13376]"

191,[191]

192,"[2910, 192, 449]"

193,"[193, 10277, 5191, 9302, 5177]"

194,"[194, 14422, 5183, 290, 3255, 247]"

195,[195]

196,"[196, 200, 1739]"

197,[197]

198,"[198, 1739, 7437, 2760, 12657, 10247, 4609, 4034]"

200,"[200, 196]"

201,"[201, 10892]"

202,[202]

203,"[203, 7549, 5012, 1215, 13130, 11150, 5025, 1035, 158]"

204,[204]

205,[205]

206,"[206, 14567, 13829, 10196, 8903, 6189]"

207,"[207, 5169]"

208,"[208, 168, 48]"

209,"[209, 7408, 2904]"

210,[210]

211,[211]

212,"[212, 5183, 12048, 5220, 5187, 3084, 5151, 5034, 4622]"

213,"[213, 10168, 6549, 2089, 2836, 7866, 2278, 645, 498, 2895, 14561, 12382, 11795, 10161, 9983, 9747, 9173, 8840, 4463, 4409, 4256, 2858, 2856, 1749, 1619, 1253, 991, 962, 944, 487, 373, 239]"

214,"[214, 2641, 3758, 3144]"

215,"[215, 7408]"

216,"[216, 5394]"

217,[217]

218,[218]

219,[219]

220,"[220, 14694, 12264, 3012]"

221,[221]

222,"[222, 10836, 8573, 10854, 6680, 6674, 6354, 2908]"

224,[224]

225,[225]

226,[226]

227,"[227, 11410]"

228,[228]

229,[229]

230,[230]

231,[231]

232,"[232, 11054]"

233,"[233, 2948]"

234,"[234, 12156, 302, 12992]"

235,"[235, 12281, 11508]"

236,[236]

237,"[237, 4986]"

238,[238]

239,"[239, 962, 373, 4413, 3000, 14561, 6721, 5682, 4379, 213]"

240,"[240, 6492]"

241,"[241, 648, 5682, 9939, 10209]"

242,[242]

243,[243]

244,"[244, 251, 250, 257]"

245,[245]

246,"[246, 14433, 11004]"

247,"[247, 5158, 14259, 5183, 3255, 290, 194]"

248,"[248, 545]"

249,"[249, 254, 253, 252, 255, 327, 325, 312, 310, 261, 250]"

250,"[250, 252, 257, 258, 261, 256, 244, 249]"

251,"[251, 244]"

252,"[252, 250, 257, 261, 258, 249, 256, 349, 13840, 260, 259]"

